year,solti_nominated,solti_won,beyonce_nominated,beyonce_won
1963,1,1,0,0
1964,1,0,0,0
1965,2,0,0,0
1966,1,0,0,0
1967,1,2,0,0
1968,1,1,0,0
1969,1,0,0,0
1970,0,0,0,0
1971,2,0,0,0
1972,1,0,0,0
1973,2,3,0,0
1974,3,0,0,0
1975,0,3,0,0
1976,1,1,0,0
1977,3,1,0,0
1978,0,0,0,0
1979,4,2,0,0
1980,1,3,0,0
1981,2,1,0,0
1982,0,2,0,0
1983,1,1,0,0
1984,0,4,0,0
1985,1,0,0,0
1986,0,1,0,0
1987,2,1,0,0
1988,2,2,0,0
1989,4,2,0,0
1990,0,0,0,0
1991,1,0,0,0
1992,0,1,0,0
1993,1,1,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,1,0,0
1997,0,0,0,0
1998,2,1,0,0
1999,2,0,0,0
2000,0,0,2,0
2001,0,0,3,2
2002,0,0,1,1
2003,0,0,0,0
2004,0,0,1,5
2005,0,0,1,0
2006,0,0,5,1
2007,0,0,3,1
2008,0,0,3,0
2009,0,0,1,0
2010,0,0,4,6
2011,0,0,3,0
2012,0,0,2,0
2013,0,0,0,1
2014,0,0,1,0
2015,0,0,3,3
2016,0,0,0,0
2017,0,0,7,2
2018,0,0,1,0
2019,0,0,2,1
2020,0,0,3,1
2021,0,0,5,4
2022,0,0,0,0
2023,0,0,5,4