month_num,month_name,london_avg_high,london_avg,london_avg_low,windhoek_avg_high,windhoek_avg,windhoek_avg_low,quito_avg_high,quito_avg,quito_avg_low,kodiak_avg_high,kodiak_avg,kodiak_avg_low,samarqand_avg_high,samarqand_avg,samarqand_avg_low,alice_springs_avg_high,alice_springs_avg,alice_springs_avg_low
1,january,47,43,39,86,75,65,64,56,49,36,32,28,43,35,28,96,85,71
2,february,48,43,39,84,73,64,64,56,49,37,32,29,46,38,31,94,83,70
3,march,52,47,42,82,71,62,64,56,49,39,34,30,56,47,39,90,78,64
4,april,58,51,45,79,68,57,64,56,49,44,38,34,69,59,49,82,69,55
5,may,63,57,50,75,63,52,65,56,49,51,45,40,79,68,57,73,60,47
6,june,69,62,55,71,58,47,65,56,48,56,50,46,88,77,63,67,53,42
7,july,73,66,59,71,58,47,65,56,48,60,55,50,92,80,66,67,53,40
8,august,72,65,59,76,63,51,66,56,48,61,55,50,89,77,63,73,58,44
9,september,67,61,55,82,69,57,66,56,48,56,50,45,81,69,55,81,68,53
10,october,60,55,50,86,74,61,65,55,48,48,42,37,69,57,45,87,74,60
11,november,53,49,44,87,75,63,65,55,48,40,35,31,56,47,37,92,79,66
12,december,49,45,41,88,76,65,65,55,49,37,33,29,47,38,31,95,83,70